,date,county,state,cases,deaths,population,new_cases,new_deaths,new_cases_smoothed,deaths_poll,cases_fatality,daily_incidence,7_days_incidence
2208,2020-03-14,Allegheny,Pennsylvania,1,0,1216045,,,,0.0,0.0,,
2628,2020-03-15,Allegheny,Pennsylvania,3,0,1216045,2.0,0.0,,0.0,0.0,0.2,
3093,2020-03-16,Allegheny,Pennsylvania,5,0,1216045,2.0,0.0,,0.0,0.0,0.2,
3622,2020-03-17,Allegheny,Pennsylvania,10,0,1216045,5.0,0.0,,0.0,0.0,0.4,
4238,2020-03-18,Allegheny,Pennsylvania,12,0,1216045,2.0,0.0,,0.0,0.0,0.2,
4977,2020-03-19,Allegheny,Pennsylvania,18,0,1216045,6.0,0.0,,0.0,0.0,0.5,
5846,2020-03-20,Allegheny,Pennsylvania,28,0,1216045,10.0,0.0,,0.0,0.0,0.8,
6848,2020-03-21,Allegheny,Pennsylvania,31,1,1216045,3.0,1.0,4.3,0.1,3.2,0.2,2.5
7963,2020-03-22,Allegheny,Pennsylvania,40,1,1216045,9.0,0.0,5.3,0.1,2.5,0.7,3.0
9173,2020-03-23,Allegheny,Pennsylvania,48,1,1216045,8.0,0.0,6.1,0.1,2.1,0.7,3.5
10492,2020-03-24,Allegheny,Pennsylvania,58,2,1216045,10.0,1.0,6.9,0.2,3.4,0.8,3.9
11954,2020-03-25,Allegheny,Pennsylvania,88,2,1216045,30.0,0.0,10.9,0.2,2.3,2.5,6.2
13572,2020-03-26,Allegheny,Pennsylvania,133,2,1216045,45.0,0.0,16.4,0.2,1.5,3.7,9.5
15318,2020-03-27,Allegheny,Pennsylvania,158,2,1216045,25.0,0.0,18.6,0.2,1.3,2.1,10.7
17165,2020-03-28,Allegheny,Pennsylvania,219,2,1216045,61.0,0.0,26.9,0.2,0.9,5.0,15.5
19103,2020-03-29,Allegheny,Pennsylvania,265,2,1216045,46.0,0.0,32.1,0.2,0.8,3.8,18.5
21153,2020-03-30,Allegheny,Pennsylvania,290,2,1216045,25.0,0.0,34.6,0.2,0.7,2.1,19.9
23288,2020-03-31,Allegheny,Pennsylvania,325,2,1216045,35.0,0.0,38.1,0.2,0.6,2.9,22.0
25486,2020-04-01,Allegheny,Pennsylvania,356,2,1216045,31.0,0.0,38.3,0.2,0.6,2.5,22.0
27758,2020-04-02,Allegheny,Pennsylvania,419,2,1216045,63.0,0.0,40.9,0.2,0.5,5.2,23.5
30091,2020-04-03,Allegheny,Pennsylvania,476,2,1216045,57.0,0.0,45.4,0.2,0.4,4.7,26.2
32481,2020-04-04,Allegheny,Pennsylvania,552,3,1216045,76.0,1.0,47.6,0.2,0.5,6.2,27.4
34916,2020-04-05,Allegheny,Pennsylvania,605,4,1216045,53.0,1.0,48.6,0.3,0.7,4.4,28.0
37391,2020-04-06,Allegheny,Pennsylvania,642,4,1216045,37.0,0.0,50.3,0.3,0.6,3.0,28.9
39912,2020-04-07,Allegheny,Pennsylvania,689,6,1216045,47.0,2.0,52.0,0.5,0.9,3.9,29.9
42472,2020-04-08,Allegheny,Pennsylvania,720,10,1216045,31.0,4.0,52.0,0.8,1.4,2.5,29.9
45058,2020-04-09,Allegheny,Pennsylvania,759,12,1216045,39.0,2.0,48.6,1.0,1.6,3.2,28.0
47675,2020-04-10,Allegheny,Pennsylvania,788,18,1216045,29.0,6.0,44.6,1.5,2.3,2.4,25.7
50332,2020-04-11,Allegheny,Pennsylvania,836,19,1216045,48.0,1.0,40.6,1.6,2.3,3.9,23.4
53005,2020-04-12,Allegheny,Pennsylvania,857,19,1216045,21.0,0.0,36.0,1.6,2.2,1.7,20.7
55690,2020-04-13,Allegheny,Pennsylvania,876,21,1216045,19.0,2.0,33.4,1.7,2.4,1.6,19.2
58393,2020-04-14,Allegheny,Pennsylvania,893,24,1216045,17.0,3.0,29.1,2.0,2.7,1.4,16.8
61108,2020-04-15,Allegheny,Pennsylvania,904,26,1216045,11.0,2.0,26.3,2.1,2.9,0.9,15.1
63834,2020-04-16,Allegheny,Pennsylvania,925,38,1216045,21.0,12.0,23.7,3.1,4.1,1.7,13.7
66580,2020-04-17,Allegheny,Pennsylvania,947,43,1216045,22.0,5.0,22.7,3.5,4.5,1.8,13.1
69338,2020-04-18,Allegheny,Pennsylvania,1009,47,1216045,62.0,4.0,24.7,3.9,4.7,5.1,14.2
72105,2020-04-19,Allegheny,Pennsylvania,1035,50,1216045,26.0,3.0,25.4,4.1,4.8,2.1,14.6
74880,2020-04-20,Allegheny,Pennsylvania,1042,55,1216045,7.0,5.0,23.7,4.5,5.3,0.6,13.7
77662,2020-04-21,Allegheny,Pennsylvania,1059,67,1216045,17.0,12.0,23.7,5.5,6.3,1.4,13.7
80452,2020-04-22,Allegheny,Pennsylvania,1088,74,1216045,29.0,7.0,26.3,6.1,6.8,2.4,15.1
83251,2020-04-23,Allegheny,Pennsylvania,1149,69,1216045,61.0,-5.0,32.0,5.7,6.0,5.0,18.4
86055,2020-04-24,Allegheny,Pennsylvania,1177,71,1216045,28.0,2.0,32.9,5.8,6.0,2.3,18.9
88869,2020-04-25,Allegheny,Pennsylvania,1198,73,1216045,21.0,2.0,27.0,6.0,6.1,1.7,15.5
91685,2020-04-26,Allegheny,Pennsylvania,1211,73,1216045,13.0,0.0,25.1,6.0,6.0,1.1,14.5
94512,2020-04-27,Allegheny,Pennsylvania,1224,79,1216045,13.0,6.0,26.0,6.5,6.5,1.1,15.0
97351,2020-04-28,Allegheny,Pennsylvania,1235,87,1216045,11.0,8.0,25.1,7.2,7.0,0.9,14.5
